,height,tss,part,nss,ss
277,8.31,1564.336,1541.858,19.59,2.888
278,8.34,1560.628,1538.156,19.59,2.883
279,8.37,1556.932,1534.464,19.59,2.878
280,8.4,1553.335,1530.872,19.59,2.873
281,8.43,1549.733,1527.275,19.59,2.868
282,8.46,1546.12,1523.667,19.59,2.863
283,8.49,1542.427,1519.979,19.59,2.858
284,8.52,1538.266,1515.823,19.59,2.853
285,8.55,1535.065,1512.627,19.59,2.848
286,8.58,1532.917,1510.484,19.59,2.843
287,8.61,1530.809,1508.382,19.59,2.838
288,8.64,1528.76,1506.337,19.59,2.833
289,8.67,1526.773,1504.355,19.59,2.828
290,8.7,1524.832,1502.419,19.59,2.823
291,8.73,1522.93,1500.522,19.59,2.818
292,8.76,1521.076,1498.673,19.59,2.813
293,8.79,1519.276,1496.878,19.59,2.808
294,8.82,1517.515,1495.122,19.59,2.803
295,8.85,1515.785,1493.397,19.59,2.798
296,8.88,1514.094,1491.711,19.59,2.793
297,8.91,1512.448,1490.069,19.59,2.788
298,8.94,1510.844,1488.47,19.59,2.784
299,8.97,1509.268,1486.899,19.59,2.779
300,9.0,1507.713,1485.349,19.59,2.774
301,9.03,1506.189,1483.831,19.59,2.769
302,9.06,1504.731,1482.377,19.59,2.764
303,9.09,1503.332,1480.983,19.59,2.759
304,9.12,1501.953,1479.61,19.59,2.754
305,9.15,1500.596,1478.257,19.59,2.749
306,9.18,1499.257,1476.923,19.59,2.744
307,9.21,1497.948,1475.619,19.59,2.739
308,9.24,1496.687,1474.362,19.59,2.734
309,9.27,1495.504,1473.185,19.59,2.73
310,9.3,1494.345,1472.031,19.59,2.725
311,9.33,1493.213,1470.903,19.59,2.72
312,9.36,1492.11,1469.806,19.59,2.715
313,9.39,1491.038,1468.738,19.59,2.71
314,9.42,1489.996,1467.701,19.59,2.705
315,9.45,1488.986,1466.696,19.59,2.7
316,9.48,1488.008,1465.722,19.59,2.695
317,9.51,1487.079,1464.798,19.59,2.69
318,9.54,1486.202,1463.927,19.59,2.686
319,9.57,1485.347,1463.076,19.59,2.681
320,9.6,1484.508,1462.242,19.59,2.676
321,9.63,1483.688,1461.427,19.59,2.671
322,9.66,1482.872,1460.616,19.59,2.666
323,9.69,1482.055,1459.804,19.59,2.661
324,9.72,1481.265,1459.019,19.59,2.657
325,9.75,1480.47,1458.229,19.59,2.652
326,9.78,1479.68,1457.443,19.59,2.647
327,9.81,1478.622,1456.39,19.59,2.642
328,9.84,1477.44,1455.213,19.59,2.637
329,9.87,1476.251,1454.028,19.59,2.633
330,9.9,1475.072,1452.854,19.59,2.628
331,9.93,1473.926,1451.713,19.59,2.623
332,9.96,1472.854,1450.646,19.59,2.618
333,9.99,1471.78,1449.577,19.59,2.613
334,10.02,1470.703,1448.504,19.59,2.609
335,10.05,1469.641,1447.447,19.59,2.604
336,10.08,1468.579,1446.391,19.59,2.599
337,10.11,1467.535,1445.351,19.59,2.594
338,10.14,1466.526,1444.347,19.59,2.59
339,10.17,1465.552,1443.377,19.59,2.585
340,10.2,1464.616,1442.446,19.59,2.58
341,10.23,1463.694,1441.529,19.59,2.575
342,10.26,1462.799,1440.638,19.59,2.571
343,10.29,1461.969,1439.813,19.59,2.566
344,10.32,1461.15,1438.999,19.59,2.561
345,10.35,1460.371,1438.225,19.59,2.556
346,10.38,1459.601,1437.459,19.59,2.552
347,10.41,1458.843,1436.706,19.59,2.547
348,10.44,1458.116,1435.984,19.59,2.542
349,10.47,1457.406,1435.279,19.59,2.537
350,10.5,1456.887,1434.764,19.59,2.533
351,10.53,1456.403,1434.285,19.59,2.528
352,10.56,1455.93,1433.817,19.59,2.523
353,10.59,1455.46,1433.352,19.59,2.519
354,10.62,1454.997,1432.893,19.59,2.514
355,10.65,1454.552,1432.452,19.59,2.509
356,10.68,1454.129,1432.035,19.59,2.505
357,10.71,1453.712,1431.622,19.59,2.5
358,10.74,1453.312,1431.227,19.59,2.495
359,10.77,1452.919,1430.839,19.59,2.491
360,10.8,1452.533,1430.457,19.59,2.486
361,10.83,1452.175,1430.104,19.59,2.481
362,10.86,1451.827,1429.761,19.59,2.477
363,10.89,1451.48,1429.418,19.59,2.472
364,10.92,1451.149,1429.092,19.59,2.467
365,10.95,1450.83,1428.777,19.59,2.463
366,10.98,1450.517,1428.469,19.59,2.458
367,11.01,1450.23,1428.186,19.59,2.453
368,11.04,1449.947,1427.908,19.59,2.449
369,11.07,1449.687,1427.652,19.59,2.444
370,11.1,1449.447,1427.418,19.59,2.44
371,11.13,1449.205,1427.183,19.587,2.435
372,11.16,1448.961,1426.944,19.586,2.43
373,11.19,1448.721,1426.71,19.585,2.426
374,11.22,1448.476,1426.471,19.584,2.421
375,11.25,1448.232,1426.233,19.583,2.417
376,11.28,1447.985,1425.995,19.578,2.412
377,11.31,1447.737,1425.76,19.57,2.407
378,11.34,1447.503,1425.538,19.562,2.403
379,11.37,1447.299,1425.344,19.557,2.398
380,11.4,1447.094,1425.147,19.553,2.394
381,11.43,1446.889,1424.951,19.549,2.389
382,11.46,1446.676,1424.749,19.542,2.385
383,11.49,1446.465,1424.546,19.539,2.38
384,11.52,1446.258,1424.347,19.536,2.376
385,11.55,1446.065,1424.161,19.533,2.371
386,11.58,1445.894,1423.997,19.531,2.366
387,11.61,1445.725,1423.834,19.529,2.362
388,11.64,1445.563,1423.679,19.527,2.357
389,11.67,1445.403,1423.525,19.525,2.353
390,11.7,1445.248,1423.377,19.523,2.348
391,11.73,1445.09,1423.227,19.52,2.344
392,11.76,1444.942,1423.086,19.517,2.339
393,11.79,1444.809,1422.96,19.514,2.335
394,11.82,1444.685,1422.844,19.511,2.33
395,11.85,1444.56,1422.731,19.503,2.326
396,11.88,1444.436,1422.621,19.493,2.321
397,11.91,1444.316,1422.517,19.483,2.317
398,11.94,1444.204,1422.42,19.472,2.312
399,11.97,1444.096,1422.327,19.462,2.308
400,12.0,1443.999,1422.24,19.455,2.303
401,12.03,1443.909,1422.159,19.451,2.299
402,12.06,1443.827,1422.086,19.447,2.294
403,12.09,1443.752,1422.019,19.443,2.29
404,12.12,1443.69,1421.965,19.439,2.285
405,12.15,1443.641,1421.927,19.435,2.279
406,12.18,1443.596,1421.893,19.431,2.272
407,12.21,1443.554,1421.864,19.426,2.264
408,12.24,1443.511,1421.836,19.42,2.255
409,12.27,1443.469,1421.809,19.413,2.247
410,12.3,1443.428,1421.782,19.407,2.239
411,12.33,1443.389,1421.758,19.401,2.23
412,12.36,1443.363,1421.746,19.394,2.222
413,12.39,1443.358,1421.756,19.387,2.214
414,12.42,1443.364,1421.779,19.379,2.206
415,12.45,1443.379,1421.813,19.368,2.198
416,12.48,1443.399,1421.858,19.352,2.19
417,12.51,1104.156,1082.638,19.336,2.182
418,12.54,1104.191,1082.692,19.324,2.174
419,12.57,1104.234,1082.75,19.317,2.167
420,12.6,1104.282,1082.81,19.313,2.159
421,12.63,1104.331,1082.871,19.309,2.151
422,12.66,1104.388,1082.939,19.305,2.144
423,12.69,1104.454,1083.015,19.302,2.136
424,12.72,1104.53,1083.103,19.299,2.129
425,12.75,1104.609,1083.197,19.293,2.12
426,12.78,1104.712,1083.323,19.28,2.11
427,12.81,1104.818,1083.452,19.266,2.1
428,12.84,1104.929,1083.585,19.253,2.09
429,12.87,1105.047,1083.719,19.247,2.08
430,12.9,1105.162,1083.853,19.239,2.07
431,12.93,1105.272,1083.993,19.22,2.059
432,12.96,1105.386,1084.14,19.197,2.049
433,12.99,1105.522,1084.308,19.175,2.038
434,13.02,1105.67,1084.485,19.157,2.027
435,13.05,1105.825,1084.663,19.145,2.017
436,13.08,1105.985,1084.842,19.137,2.006
437,13.11,1106.151,1085.026,19.129,1.996
438,13.14,1106.315,1085.208,19.122,1.985
439,13.17,1106.486,1085.397,19.115,1.974
440,13.2,1106.663,1085.592,19.108,1.963
441,13.23,1106.846,1085.795,19.102,1.949
442,13.26,1107.031,1086.003,19.093,1.935
443,13.29,1107.222,1086.212,19.084,1.925
444,13.32,1107.419,1086.424,19.075,1.92
445,13.35,1107.619,1086.639,19.066,1.914
446,13.38,1107.816,1086.852,19.057,1.908
447,13.41,1108.016,1087.069,19.047,1.9
448,13.44,1108.224,1087.294,19.038,1.892
449,13.47,1108.439,1087.527,19.028,1.884
450,13.5,1108.658,1087.764,19.018,1.876
451,13.53,1108.881,1088.005,19.008,1.868
452,13.56,1109.11,1088.249,19.001,1.86
453,13.59,1109.342,1088.495,18.996,1.852
454,13.62,1109.578,1088.744,18.99,1.844
